sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
A11214-41,,Default,simple,"Default Category/Auto Detailing/Products/Car Wash",base,"Eco Kleen - 18.9L","Eco Kleen is a high quality car wash soap with medium viscosity intended for use with a proportioner in cloth or brush tunnel washes, foam brushes and also for hand washing. It features superior cleaning, rich foam, high lubricity and streak-free rinsing. Certified biodegradable according to OECD-301 testing.","Eco Kleen - 18.9L",20.000000,2,"Taxable Goods","Not Visible Individually",154.500000,,,,eco-kleen-41,,,,a/1/a11214_1.jpg,,a/1/a11214_1.jpg,,a/1/a11214_1.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:21 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=30.900000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11214_1.jpg,,,,,,,,,,,,,,
A11214-41,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11216,,Default,simple,,base,"Eco Kleen  -  56.8L","Eco Kleen is a high quality car wash soap with medium viscosity intended for use with a proportioner in cloth or brush tunnel washes, foam brushes and also for hand washing. It features superior cleaning, rich foam, high lubricity and streak-free rinsing. Certified biodegradable according to OECD-301 testing.","Eco Kleen  -  56.8L",20.000000,2,"Taxable Goods","Not Visible Individually",445.950000,,,,eco-kleen-42,,,,k/e/keg.jpg,,k/e/keg.jpg,,k/e/keg.jpg,,,,"3/7/16, 3:31 AM","8/20/18, 4:19 PM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=80.270000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,k/e/keg.jpg,,,,,,,,,,,,,,
A11218,,Default,simple,,base,"Eco Kleen  - 208.2L","Eco Kleen is a high quality car wash soap with medium viscosity intended for use with a proportioner in cloth or brush tunnel washes, foam brushes and also for hand washing. It features superior cleaning, rich foam, high lubricity and streak-free rinsing. Certified biodegradable according to OECD-301 testing.","Eco Kleen  - 208.2L",20.000000,2,"Taxable Goods","Not Visible Individually",1117.150000,,,,eco-kleen-43,,,,d/r/drum.jpg,,d/r/drum.jpg,,d/r/drum.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:20 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=223.430000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,d/r/drum.jpg,,,,,,,,,,,,,,
A11218,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11400,,Default,simple,"Default Category",base,"Formula One  - Sample","Formula One  - Sample","Formula One  - Sample",20.000000,2,"Taxable Goods","Not Visible Individually",2.330000,,,,formula-one-sample,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.049000",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11404,,Default,simple,"Default Category",base,"Formula One  - 500ml","Formula One  - 500ml","Formula One  - 500ml",20.000000,2,"Taxable Goods","Not Visible Individually",3.190000,,,,formula-one-500ml,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.436000",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11412,,Default,simple,,base,"Formula One  - 3.78L","Formula One is a premium quality, concentrated friction car wash detergent suitable for use as a manual wash with brush or mitt. It is an excellent performer with dense foam, top cleaning power, excellent lubricity and rinsability. Formula One excels at removing overspray from oil-based rust inhibiting solutions.","Formula One  - 3.78L",20.000000,2,"Taxable Goods","Not Visible Individually",40.250000,,,,formula-one,,,,a/1/a11412_auto_valet_formula_one_-_4_liter_1.jpg,,a/1/a11412_auto_valet_formula_one_-_4_liter_1.jpg,,a/1/a11412_auto_valet_formula_one_-_4_liter_1.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:26 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=8.050000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11412_auto_valet_formula_one_-_4_liter_1.jpg,,,,,,,,,,,,,,
A11412,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11414,,Default,simple,,base,"Formula One  - 18.9L","Formula One is a premium quality, concentrated friction car wash detergent suitable for use as a manual wash with brush or mitt. It is an excellent performer with dense foam, top cleaning power, excellent lubricity and rinsability. Formula One excels at removing overspray from oil-based rust inhibiting solutions.","Formula One  - 18.9L",20.000000,2,"Taxable Goods","Not Visible Individually",180.950000,,,,formula-one-47,,,,a/1/a11414_auto_valet_formula_one_-_20_liter.jpg,,a/1/a11414_auto_valet_formula_one_-_20_liter.jpg,,a/1/a11414_auto_valet_formula_one_-_20_liter.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:25 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=36.190000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11414_auto_valet_formula_one_-_20_liter.jpg,,,,,,,,,,,,,,
A11414,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11416,,Default,simple,,base,"Formula One  -  56.8L","Formula One is a premium quality, concentrated friction car wash detergent suitable for use as a manual wash with brush or mitt. It is an excellent performer with dense foam, top cleaning power, excellent lubricity and rinsability. Formula One excels at removing overspray from oil-based rust inhibiting solutions.","Formula One  -  56.8L",20.000000,2,"Taxable Goods","Not Visible Individually",528.480000,,,,formula-one-48,,,,k/e/keg_6.jpg,,k/e/keg_6.jpg,,k/e/keg_6.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:25 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=105.700000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,k/e/keg_6.jpg,,,,,,,,,,,,,,
A11416,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11418,,Default,simple,,base,"Formula One  - 208.2L","Formula One is a premium quality, concentrated friction car wash detergent suitable for use as a manual wash with brush or mitt. It is an excellent performer with dense foam, top cleaning power, excellent lubricity and rinsability. Formula One excels at removing overspray from oil-based rust inhibiting solutions.","Formula One  - 208.2L",20.000000,2,"Taxable Goods","Not Visible Individually",1378.600000,,,,formula-one-49,,,,d/r/drum_8.jpg,,d/r/drum_8.jpg,,d/r/drum_8.jpg,,,,"3/7/16, 3:31 AM","6/13/17, 9:42 PM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=275.720000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,d/r/drum_8.jpg,,,,,,,,,,,,,,
A11500,,Default,simple,"Default Category",base,"Auto Gleam  - Sample","Auto Gleam  - Sample","Auto Gleam  - Sample",20.000000,2,"Taxable Goods","Not Visible Individually",2.510000,,,,auto-gleam-sample,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.130000",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11504,,Default,simple,"Default Category",base,"Auto Gleam  - 500 ML","Auto Gleam  - 500 ML","Auto Gleam  - 500 ML",20.000000,2,"Taxable Goods","Not Visible Individually",4.040000,,,,auto-gleam-500-ml,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.818000",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11512,,Default,simple,,base,"Auto Gleam - 3.78L","Auto Gleam is our ultimate car wash and shine designed to overcome the disadvantages of hard water. Premium detergents and other special ingredients are incorporated to bind the minerals which inhibit the foaming, cleaning and rinsing abilities of ordinary soaps. Auto Gleam is truly an extraordinary soap and produces extraordinary results. Requires minimal chamoising. Highly concentrated.","Auto Gleam - 3.78L",20.000000,1,"Taxable Goods","Not Visible Individually",71.200000,,,,auto-gleam,,,,a/1/a11512_1.jpg,,a/1/a11512_1.jpg,,a/1/a11512_1.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:43 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=14.240000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11512_1.jpg,,,,,,,,,,,,,,
A11512,default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11514,,Default,simple,,base,"Auto Gleam - 18.9L","Auto Gleam is our ultimate car wash and shine designed to overcome the disadvantages of hard water. Premium detergents and other special ingredients are incorporated to bind the minerals which inhibit the foaming, cleaning and rinsing abilities of ordinary soaps. Auto Gleam is truly an extraordinary soap and produces extraordinary results. Requires minimal chamoising. Highly concentrated.","Auto Gleam - 18.9L",20.000000,1,"Taxable Goods","Not Visible Individually",330.900000,,,,auto-gleam-53,,,,a/1/a11514_1.jpg,,a/1/a11514_1.jpg,,a/1/a11514_1.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:45 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=66.180000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11514_1.jpg,,,,,,,,,,,,,,
A11514,default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11516,,Default,simple,,base,"Auto Gleam  - 56.8L","Auto Gleam is our ultimate car wash and shine designed to overcome the disadvantages of hard water. Premium detergents and other special ingredients are incorporated to bind the minerals which inhibit the foaming, cleaning and rinsing abilities of ordinary soaps. Auto Gleam is truly an extraordinary soap and produces extraordinary results. Requires minimal chamoising. Highly concentrated.","Auto Gleam  - 56.8L",20.000000,2,"Taxable Goods","Not Visible Individually",750.650000,,,,auto-gleam-54,,,,k/e/keg_7.jpg,,k/e/keg_7.jpg,,k/e/keg_7.jpg,,,,"3/7/16, 3:31 AM","8/20/18, 4:19 PM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=150.130000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,k/e/keg_7.jpg,,,,,,,,,,,,,,
A11518,,Default,simple,,base,"Auto Gleam  - 208.2L","Auto Gleam is our ultimate car wash and shine designed to overcome the disadvantages of hard water. Premium detergents and other special ingredients are incorporated to bind the minerals which inhibit the foaming, cleaning and rinsing abilities of ordinary soaps. Auto Gleam is truly an extraordinary soap and produces extraordinary results. Requires minimal chamoising. Highly concentrated.","Auto Gleam  - 208.2L",20.000000,1,"Taxable Goods","Not Visible Individually",3026.700000,,,,auto-gleam-55,,,,d/r/drum_9.jpg,,d/r/drum_9.jpg,,d/r/drum_9.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:46 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=605.340000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,d/r/drum_9.jpg,,,,,,,,,,,,,,
A11518,default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11600,,Default,simple,"Default Category",base,"Cobra  - Sample","Cobra  - Sample","Cobra  - Sample",20.000000,2,"Taxable Goods","Not Visible Individually",2.380000,,,,cobra-sample,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.071000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11604,,Default,simple,"Default Category",base,"Cobra  - 500 ML","Cobra  - 500 ML","Cobra  - 500 ML",20.000000,2,"Taxable Goods","Not Visible Individually",3.380000,,,,cobra-500-ml,,,,,,,,,,,,"3/7/16, 3:31 AM","7/5/16, 2:13 AM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=1.521000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A11612,,Default,simple,"Default Category/Auto Detailing/Products/Vehicle Cleaners",base,"Cobra - 3.78L","Advanced technology and premium components make Cobra a leader in touchless vehicle washing. Superior results are achieved because of Cobra's ability to penetrate, lift and float away the most resistant road films, oil, grease, and clay soil quickly and consistently. Applied with either high or low pressure and rinsed with high pressure (500 psi and up) it works with amazing rapidity and requires no brushing. Works equally well in hot or cold water. Ideal for cleaning heavy equipment and floors.","Cobra - 3.78L",20.000000,2,"Taxable Goods","Not Visible Individually",44.650000,,,,cobra,,,,a/1/a11612_auto_valet_cobra_-_4_liter_1.jpg,,a/1/a11612_auto_valet_cobra_-_4_liter_1.jpg,,a/1/a11612_auto_valet_cobra_-_4_liter_1.jpg,,,,"3/7/16, 3:31 AM","8/20/18, 4:20 PM",,,,,,,,,,,,,,,,"configtierprices_disabled=No,cost=8.930000,is_recurring=No",1000.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,1,1.0000,0,0,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11612_auto_valet_cobra_-_4_liter_1.jpg,,,,,,,,,,,,,,
A11614,,Default,simple,"Default Category/Auto Detailing/Products/Vehicle Cleaners",base,"Cobra  - 18.9L","Advanced technology and premium components make Cobra a leader in touchless vehicle washing. Superior results are achieved because of Cobra's ability to penetrate, lift and float away the most resistant road films, oil, grease, and clay soil quickly and consistently. Applied with either high or low pressure and rinsed with high pressure (500 psi and up) it works with amazing rapidity and requires no brushing. Works equally well in hot or cold water. Ideal for cleaning heavy equipment and floors.","Cobra  - 18.9L",20.000000,1,"Taxable Goods","Not Visible Individually",243.400000,,,,cobra-59,,,,a/1/a11614_auto_valet_cobra_-_20_liter.jpg,,a/1/a11614_auto_valet_cobra_-_20_liter.jpg,,a/1/a11614_auto_valet_cobra_-_20_liter.jpg,,,,"3/7/16, 3:31 AM","3/16/22, 10:48 AM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=48.680000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,a/1/a11614_auto_valet_cobra_-_20_liter.jpg,,,,,,,,,,,,,,
A11614,default,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11616,,Default,simple,"Default Category/Auto Detailing/Products/Vehicle Cleaners",base,"Cobra  - 56.8L","Advanced technology and premium components make Cobra a leader in touchless vehicle washing. Superior results are achieved because of Cobra's ability to penetrate, lift and float away the most resistant road films, oil, grease, and clay soil quickly and consistently. Applied with either high or low pressure and rinsed with high pressure (500 psi and up) it works with amazing rapidity and requires no brushing. Works equally well in hot or cold water. Ideal for cleaning heavy equipment and floors.","Cobra  - 56.8L",20.000000,2,"Taxable Goods","Not Visible Individually",472.150000,,,,cobra-60,,,,k/e/keg_8.jpg,,k/e/keg_8.jpg,,k/e/keg_8.jpg,,,,"3/7/16, 3:31 AM","10/22/21, 1:31 PM",,,"Product Info Column",,,2,No,,,,,,,"Use config",,"configtierprices_disabled=No,cost=94.430000,is_recurring=No",1000.0000,0.0000,0,0,0,0,1.0000,0,2000.0000,0,1,1.0000,0,1,0,0,0.0000,0,0,0,0,,,,,,,k/e/keg_8.jpg,,,,,,,,,,,,,,
A11616,default,Default,simple,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
